date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,139.00,No data,No data,https://www.backmarket.co.uk/en-gb/p/iphone-6s-plus-32-gb-silver-unlocked/4e4604bc-2c47-4959-bcdb-5a888390cf0a,iPhone 6S Plus 32 GB - Silver - Unlocked,iPhone 6S Plus,3.9/5,(22 reviews)
27_Oct_22,690.00,560.07,560.15,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-128-gb-silver-unlocked/9b830725-94d9-41b6-938d-f144ffb96729,iPhone 12 Pro Max 128 GB - Silver - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,165.00,171.10,148.64,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-128-gb-rose-gold-unlocked/c2a84153-0225-4dff-b0c3-d6671d8fda29,iPhone 7 Plus 128 GB - Rose Gold - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,242.00,161.00,166.52,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-128-gb-productred-unlocked/e009a3f2-ace0-43bf-b74c-75e21fc1eec3,iPhone 7 Plus 128 GB - Red - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,189.00,139.95,143.38,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-128-gb-black-unlocked/2169b39e-4bdd-419e-8226-77e6dd07eee3,iPhone 7 Plus 128 GB - Black - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,139.00,No data,No data,https://www.backmarket.co.uk/en-gb/p/iphone-6s-plus-32-gb-rose-gold-unlocked/bb578a46-40d3-4328-9fa8-53ab6210bd0b,iPhone 6S Plus 32 GB - Rose Gold - Unlocked,iPhone 6S Plus,3.9/5,(22 reviews)
27_Oct_22,593.87,546.91,579.99,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-128-gb-graphite-unlocked/4541b851-9c93-4347-993a-51c17a53c02f,iPhone 12 Pro Max 128 GB - Graphite - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,615.22,542.13,579.99,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-128-gb-gold-unlocked/bcab50ce-1f30-4e13-a0eb-6dd7d98fefc5,iPhone 12 Pro Max 128 GB - Gold - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,192.62,168.63,194.35,https://www.backmarket.co.uk/en-gb/p/iphone-se-2020-128-gb-white-unlocked/b0ceab1a-ca86-41cf-ad78-e3f7f92c3fa4,iPhone SE (2020) 128 GB - White - Unlocked,iPhone SE (2020),4.4/5,(918 reviews)
27_Oct_22,169.00,119.00,129.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-black-unlocked/a3b552e4-0a06-4ce4-b058-65c34948b982,iPhone 7 256 GB - Black - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,671.19,549.00,577.80,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-512-gb-graphite-unlocked/145124cf-d3c1-4f37-884f-38b322ff8abd,iPhone 12 Pro 512 GB - Graphite - Unlocked,iPhone 12 Pro,4.3/5,(213 reviews)
27_Oct_22,"1,389.13",960.00,No data,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-sierra-blue-unlocked/372ef883-4c52-4a89-98ce-0ae3d216cad5,iPhone 13 Pro Max 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,652.26,570.65,589.51,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-512-gb-pacific-blue-unlocked/7692f1a2-fd7d-4710-aec8-f07154d94eb9,iPhone 12 Pro 512 GB - Pacific Blue - Unlocked,iPhone 12 Pro,4.3/5,(212 reviews)
27_Oct_22,299.00,225.00,258.79,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-white-unlocked/8e8ac04c-275c-4976-9785-f6899a71a31c,iPhone XR 128 GB - White - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,299.95,209.99,244.58,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-coral-unlocked/d1f26a30-114e-4172-ac64-060eb5ec9869,iPhone XR 128 GB - Coral - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,No data,133.95,131.28,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-gold-unlocked/7151fccf-5c5b-49b3-ab74-a55260fd19ee,iPhone 7 Plus 32 GB - Gold - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,135.00,No data,No data,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-silver-unlocked/7b2ecd61-d363-4ea6-a595-af602cc77d4e,iPhone 7 Plus 32 GB - Silver - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,No data,126.00,138.95,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-rose-gold-unlocked/7399e6ff-6f1b-4af3-8c17-01b5bfe7436d,iPhone 7 Plus 32 GB - Rose Gold - Unlocked,iPhone 7 Plus,4.2/5,(97 reviews)
27_Oct_22,136.47,114.27,132.41,https://www.backmarket.co.uk/en-gb/p/iphone-7-plus-32-gb-black-unlocked/84d1b8f7-2efa-4ff5-810b-e75032ed8bad,iPhone 7 Plus 32 GB - Black - Unlocked,iPhone 7 Plus,4.2/5,(96 reviews)
27_Oct_22,445.00,No data,371.00,https://www.backmarket.co.uk/en-gb/p/iphone-xr-256-gb-black-unlocked/a215361c-00df-4c78-a497-6072fb5d78f8,iPhone XR 256 GB - Black - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,No data,No data,74.53,https://www.backmarket.co.uk/en-gb/p/iphone-6s-128-gb-space-gray-unlocked/827d4d77-04d4-4f37-87c7-714ec8c36243,iPhone 6S 128 GB - Space Gray - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,970.00,871.11,920.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-sierra-blue-unlocked/fe1ab4be-2963-48b3-84bd-658c516261d0,iPhone 13 Pro Max 512 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,"1,003.75",949.99,980.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/5f34ddae-a1a4-4daa-8eca-4dfe5d596b68,iPhone 13 Pro Max 512 GB - Graphite - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,95.00,95.00,No data,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-rose-gold-unlocked/0c4d277e-352a-4783-aec1-ceece27a5910,iPhone 6S 16 GB - Rose Gold - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,104.99,95.00,No data,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-silver-unlocked/6d373102-6314-4c7f-95c3-5f5d9bd161d7,iPhone 6S 16 GB - Silver - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,850.03,827.41,838.03,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-512-gb-sierra-blue-unlocked/c29f3de9-6589-4df7-9d12-fe7bf6746759,iPhone 13 Pro 512 GB - Sierra Blue - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,860.67,827.41,838.03,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-512-gb-graphite-unlocked/8c24e75f-8ee4-4c25-8e36-bb1a666747b8,iPhone 13 Pro 512 GB - Graphite - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,102.00,78.44,90.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-16-gb-space-gray-unlocked/7c13a280-6e76-4521-a501-b593987052b7,iPhone 6S 16 GB - Space Gray - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,565.93,444.99,448.39,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-512-gb-midnight-green-unlocked/de23fce1-f9b7-4963-a047-91c829019ee8,iPhone 11 Pro Max 512 GB - Midnight Green - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,400.00,314.95,299.00,https://www.backmarket.co.uk/en-gb/p/iphone-xs-512-gb-silver-unlocked/624796e3-a2d3-42cb-9c22-910c5e4a38ea,iPhone XS 512 GB - Silver - Unlocked,iPhone XS,4.1/5,(385 reviews)
27_Oct_22,494.00,384.38,427.74,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-256-gb-blue-unlocked/526f50df-4933-4fd4-9789-213063e3b3db,iPhone 12 mini 256 GB - Blue - Unlocked,iPhone 12 mini,4.3/5,(179 reviews)
27_Oct_22,558.76,464.99,489.73,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-512-gb-space-gray-unlocked/d669d61e-c332-4538-a53d-33b5d7584c9b,iPhone 11 Pro Max 512 GB - Space Gray - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,462.62,404.61,459.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-256-gb-black-unlocked/dfb6daed-e9a5-4f63-80e3-9fc39a94a931,iPhone 12 mini 256 GB - Black - Unlocked,iPhone 12 mini,4.3/5,(180 reviews)
27_Oct_22,No data,361.00,520.00,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-512-gb-space-gray-unlocked/c7bfaa97-3c78-4842-95c9-228c6d29201e,iPhone XS Max 512 GB - Space Gray - Unlocked,iPhone XS Max,4.3/5,(138 reviews)
27_Oct_22,310.00,265.00,252.84,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-64-gb-silver-unlocked/c947c66c-faf1-466b-946a-9d897e26e339,iPhone XS Max 64 GB - Silver - Unlocked,iPhone XS Max,4.3/5,(138 reviews)
27_Oct_22,91.93,No data,89.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-silver-unlocked/e85309d3-0081-48ba-9259-ad8f367ed4ae,iPhone 6S 32 GB - Silver - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,101.85,74.00,108.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-rose-gold-unlocked/c921afde-91f5-48e8-8e48-b44b3d29db57,iPhone 6S 32 GB - Rose Gold - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,83.88,No data,100.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-gold-unlocked/512d21ff-a3e0-4b61-810f-9c5ada85f4bc,iPhone 6S 32 GB - Gold - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,96.00,76.00,85.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-32-gb-space-gray-unlocked/c0b51739-72ea-4a79-91b3-72e1b52d0c08,iPhone 6S 32 GB - Space Gray - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,748.30,629.66,710.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-graphite-unlocked/1787a25d-e729-4025-b051-2003950a01f7,iPhone 12 Pro Max 512 GB - Graphite - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,740.00,628.53,661.03,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-pacific-blue-unlocked/926ba1db-b513-44b5-bf6a-61c3206f3ad9,iPhone 12 Pro Max 512 GB - Pacific Blue - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,106.16,79.93,95.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-silver-unlocked/3d20d778-53d0-4c6d-aea0-41ff3d347ee5,iPhone 7 32 GB - Silver - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,109.95,86.62,92.02,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-gold-unlocked/3a555d3b-a7ec-49f2-a3f4-a0627fcbdd4a,iPhone 7 32 GB - Gold - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,95.72,84.00,89.92,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-rose-gold-unlocked/34a86639-944c-4a33-9b45-c985017c7508,iPhone 7 32 GB - Rose Gold - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,113.49,97.00,106.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-jet-black-unlocked/ebd1cb3a-a6b9-4d97-88de-ea457aab0a70,iPhone 7 32 GB - Jet Black - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,No data,No data,380.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-128-gb-starlight-unlocked/6bfebcd6-5bf0-4f2f-aaf9-5425b79aad2c,iPhone SE (2022) 128 GB - Starlight - Unlocked,iPhone SE (2022),4.4/5,(34 reviews)
27_Oct_22,344.74,No data,329.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2022-64-gb-productred-unlocked/8f18cc1f-25de-41ca-a9ad-181eb590b818,iPhone SE (2022) 64 GB - Red - Unlocked,iPhone SE (2022),4.4/5,(34 reviews)
27_Oct_22,299.00,151.00,189.99,https://www.backmarket.co.uk/en-gb/p/iphone-8-128-gb-gold-unlocked/d828a2aa-5eed-4c44-96eb-47b939b7891a,iPhone 8 128 GB - Gold - Unlocked,iPhone 8,4.4/5,(490 reviews)
27_Oct_22,192.89,213.99,No data,https://www.backmarket.co.uk/en-gb/p/iphone-8-256-gb-productred-unlocked/3d389f72-3acb-4f8c-b24c-4d99077772c9,iPhone 8 256 GB - (Product)Red - Unlocked,iPhone 8,4.4/5,(490 reviews)
27_Oct_22,299.00,169.00,169.44,https://www.backmarket.co.uk/en-gb/p/iphone-8-128-gb-space-gray-unlocked/32e68609-2d7d-4581-a2fa-62918ee1ef45,iPhone 8 128 GB - Space Gray - Unlocked,iPhone 8,4.4/5,(490 reviews)
27_Oct_22,709.99,740.00,709.99,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-unlocked/58c0e06e-f4b5-4553-a0a2-1f2a5d1da186,iPhone 13 256 GB - Starlight - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,989.00,922.74,949.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-sierra-blue-unlocked/1080f60b-6d16-4280-83a1-2f920327043f,iPhone 13 Pro 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,989.00,873.07,949.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-graphite-unlocked/cfd58ffc-b2b6-4079-a216-f075cd26918f,iPhone 13 Pro 1000 GB - Graphite - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,815.00,710.00,824.50,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-pink-unlocked/47564ee1-e2df-45fe-aa2e-2ce197775187,iPhone 13 256 GB - Pink - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,719.99,689.99,824.50,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-blue-unlocked/f72a3516-f868-4dda-bab3-0a44284ba101,iPhone 13 256 GB - Blue - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,859.00,796.44,No data,https://www.backmarket.co.uk/en-gb/p/iphone-13-256-gb-productred-unlocked/5532ef43-c5f1-41bf-8b9e-d3e659ab1424,iPhone 13 256 GB - Red - Unlocked,iPhone 13,4.6/5,(117 reviews)
